simulation_id,simulation_name,study,output_path,of_value,simulation_number,family,group_silhouette,group_distance_to_centroid,group_distance_percentile,representative_role,selected_for_visualization,grouping_match,active_cells,active_grid_volume,target_cells,target_volume,target_cell_fraction,target_volume_fraction,n_bodies,largest_body_cells,largest_body_volume,connected_cell_fraction,connected_volume_fraction,effective_body_count,body_volume_p50,body_volume_p90,percolation_x,percolation_y,percolation_z,facies_11_volume_fraction,facies_12_volume_fraction,facies_13_volume_fraction,facies_14_volume_fraction,facies_16_volume_fraction,facies_21_volume_fraction,facies_23_volume_fraction,facies_24_volume_fraction,facies_25_volume_fraction,facies_26_volume_fraction,facies_111_volume_fraction,facies_131_volume_fraction,facies_161_volume_fraction,facies_231_volume_fraction,facies_232_volume_fraction,facies_241_volume_fraction,Tcolumn_mean,Tcolumn_std,Tcolumn_p10,Tcolumn_p50,Tcolumn_p90,Ttarget_mean,Ttarget_std,Ttarget_p10,Ttarget_p50,Ttarget_p90,Tenv_mean,Tenv_std,Tenv_p10,Tenv_p50,Tenv_p90,target_fraction_col_mean,target_fraction_col_std,target_fraction_col_p10,target_fraction_col_p50,target_fraction_col_p90,n_packages_mean,n_packages_std,n_packages_p10,n_packages_p50,n_packages_p90,Tpack_max_mean,Tpack_max_std,Tpack_max_p10,Tpack_max_p50,Tpack_max_p90,gap_fraction_env_mean,gap_fraction_env_std,gap_fraction_env_p10,gap_fraction_env_p50,gap_fraction_env_p90,vpc_distance_to_base,processing_status,processing_message,facies_121_volume_fraction,processing_seconds,Carbo_GrainsProdvsTime,Carbo_MudProdvsTime,Carbo_RudProdvsTime,LutitesProdvsTime,S1Supply0,S2Supply0,facies_15_volume_fraction,facies_22_volume_fraction,Expected_Grid_Token
base,Modelo-base,,C:\Users\08595850933\Documents\Projetos\sfm_model_analysis\grids\_BENCHMARK_MCHAVES_Inferior_2025-1-Tck123_SIM_BaseModel_.grdecl,,,,,,,,,False,13608,7412092890.825001,5882,2418434346.855,0.4322457378012934,0.3262822501656232,11,3024,1497070397.64,0.5141108466507991,0.6190246179669224,1.9080198557497083,526338.885,907799963.25,True,True,False,0.0275885160105217,0.1039770824005713,0.0581664166707458,0.068706763486516,0.0142245434282819,0.0318217040044066,0.3262822501656232,0.0127284613279447,0.005730411201076,0.0140118691582452,0.0029072426030539,0.0565513161051797,0.0003936645901472,0.039408148001163,0.0156885565902637,0.2215020836499879,126.49759349228395,58.1004889443682,68.62339349999999,111.5205995,221.1399376000001,41.421756345679015,17.73582987266701,16.684023200000002,42.333053,62.827367500000015,69.70917690123457,38.13095477658555,22.3360642,70.44867149999999,120.778679,0.3885759621126837,0.2049730984860736,0.1031928616182038,0.4410131016445224,0.6420169044353596,3.2777777777777777,2.0038543107634927,1.0,3.0,6.0,26.86356719907408,14.869982646198157,6.8941458,22.829215,46.26815820000001,0.3023921478925308,0.2249011502820219,0.0,0.341043704725221,0.6005186804151266,0.0,ok,,0.0003109706062714,0.9240818000398576,,,,,,,0.0,0.0,
Sim549,Sim549,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_549_.grdecl,45.96386471013837,549.0,F04,0.2019144287360197,0.1114940055035513,0.9056603773584906,,False,True,13608,6686660799.959999,1922,782114700.345,0.1412404467960023,0.1169664087566216,17,1589,715854031.335,0.8267429760665973,0.9152801130310276,1.1899564584768014,476732.5350000002,26323744.074000005,True,True,False,0.0271246532321611,0.0547121005408541,0.1784759611280325,0.0729164038136818,0.0134909256120094,0.0036323684499063,0.1169664087566216,0.0222082537723295,0.0078162548577778,0.0017991768784012,0.0101718917774933,0.0277868645080832,0.0042432023754172,0.1595645447704454,0.0141090777328744,0.2825785851985049,114.03432245833334,52.92189418070708,65.6719663,99.61917699999998,200.11590400000009,13.325541768518518,9.56749781394237,0.0,13.060966,24.74101690000001,30.79194658179012,32.68170000047565,0.0,20.6154495,91.2844018,0.1437842842422372,0.1121947864653873,0.0,0.1504284598396287,0.2864815449330335,1.970679012345679,1.4563838298779237,0.0,2.0,4.0,8.489650047839506,7.852302023473987,0.0,6.4315370000000005,22.267996200000013,0.2923501443188594,0.301551743566458,0.0,0.2675352189314082,0.7769322432036097,0.12479001126836975,ok,,0.0006807753109036,0.4260337001178413,0.9616733854815354,0.732344864107482,0.3,0.416921650115894,1.6007060538517932,0.9381055175043588,0.0002764899245391,0.0014460613599627,SIM_549
Sim563,Sim563,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_563_.grdecl,45.94330909127855,563.0,F04,0.1625429200109374,0.0571365143568036,0.5283018867924528,,False,True,13608,6581067524.160001,1744,673655054.1750001,0.1281599059376837,0.102362580493502,16,1323,571465278.6600001,0.7586009174311926,0.8483054867893065,1.3772356746629546,546238.0500000002,34796763.802499995,True,True,False,0.0279353601942362,0.0582213893093136,0.183467027035118,0.0481955693579491,0.0138219132657524,0.002733945854369,0.102362580493502,0.0217152244966884,0.0079031556543159,0.0019953045469892,0.0101684625137684,0.0167754823445746,0.004850869834993,0.1533399504389381,0.0071605867645332,0.3374199685876088,112.20557799537036,52.00722148027685,65.7311598,98.0690925,196.6782845000001,11.437741791666667,10.074042599635616,0.0,10.549078,24.257004700000003,27.73620737654321,32.735526221432714,0.0,15.8578785,89.27899330000002,0.1319085270787779,0.1189400262169571,0.0,0.1276117442867835,0.2911476725021293,1.7469135802469136,1.5587733717992462,0.0,1.0,4.0,7.298091589506172,7.999445964783908,0.0,5.326427,21.845433800000013,0.2667552592182158,0.3098312410316411,0.0,0.0,0.7731930901058292,0.12253787201199812,ok,,0.0005966965968034,0.4170639999210834,0.9210318369378964,0.782197560306072,0.3,0.3030408690872891,1.7,0.8801761281925309,0.0002788432117225,0.0010576694988232,SIM_563
Sim566,Sim566,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_566_.grdecl,46.11521749740578,566.0,F02,0.0929861662317302,0.1112797671634169,0.9902912621359224,,False,True,13608,6550387150.02,1896,712354381.4549999,0.1393298059964726,0.1087499662447928,17,1360,577947886.5,0.7172995780590717,0.8113207436438145,1.4877378628242235,1000528.47,57109200.90600001,True,True,False,0.0284693976820027,0.0606091027442229,0.180905775537463,0.0675846102689744,0.0141094227384281,0.0022722646645327,0.1087499662447928,0.0185401424264868,0.0080881551542855,0.0019357739099377,0.0100125598575955,0.0289583517913778,0.0043875156623242,0.1272419743155876,0.0101941422645218,0.3262395526779627,111.6639286111111,52.33516420910927,64.9649974,97.570156,197.0491792000001,12.066847990740742,10.032244517477244,0.0,11.269718999999998,24.807364,29.60634211419753,32.94093757112507,0.0,18.9626625,88.83161840000002,0.1372203594340203,0.119852890241601,0.0,0.1363793916407137,0.2905433458227803,1.817901234567901,1.5237382686121144,0.0,2.0,4.0,7.817702154320987,8.031257580787644,0.0,5.915518499999999,22.0330034,0.2863946901097721,0.3146250017379995,0.0,0.2014496447267964,0.7774116965751187,0.12035387002033159,ok,,0.0006920195587196,0.424396000104025,0.8497128781286956,0.7887865270181893,0.3,0.3840868255309185,1.7,0.8377966776053929,0.0002849486026172,0.0007243238981661,SIM_566
Sim575,Sim575,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_575_.grdecl,45.8119876878926,575.0,F01,0.0686179752171664,0.0720234240508132,0.8791946308724832,,False,True,13608,6725065753.17,1952,802447801.98,0.1434450323339212,0.1193219265702717,15,1590,732418123.8299999,0.8145491803278688,0.9127299271339452,1.1926426683471318,474484.95,36974763.81899998,True,True,False,0.0275170638885978,0.0579571210090066,0.1887689725355625,0.0380269200631168,0.0134177443175876,0.0029972910719123,0.1193219265702717,0.0179077168588623,0.0078365779918446,0.0016383462674407,0.0105344583161295,0.0188782062368916,0.0046093734303472,0.130861633963232,0.0189540099752802,0.3387940976117627,114.69180010185184,53.87720701573895,65.6424595,100.2949445,202.3730747000001,13.642306410493829,9.511877176542056,0.0,13.4147005,24.7211059,31.973453643518518,32.87785277978143,0.0,21.0018545,92.49048160000008,0.1427816724011172,0.1114107222880811,0.0,0.1396356315624598,0.2859091499295832,2.0169753086419755,1.4448788190915778,0.0,2.0,4.0,8.450149671296296,7.723864157462081,0.0,6.6560385,22.064232800000006,0.311490851449871,0.2982646979211006,0.0,0.3181341050694765,0.7767020973711165,0.12924797404700733,ok,,0.0006881113352413,0.4216452999971807,0.880010994309062,0.8909554480975618,0.3,0.3,1.7,0.9644947304089646,0.0002860074764463,0.0010044210804654,SIM_575
Sim590,Sim590,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_590_.grdecl,46.07042184084229,590.0,F04,0.1172338155491258,0.0586797960286876,0.5660377358490566,,False,True,13608,6800733103.47,1903,814265756.73,0.1398442092886537,0.1197320559918062,16,1598,752002919.445,0.8397267472411981,0.923534992389904,1.170094494567424,769973.6325000003,23053792.1625,True,True,False,0.0267331615436041,0.0543844966407056,0.1869863017982807,0.0431960630193103,0.0132735650659398,0.0039106318687069,0.1197320559918062,0.0203677881145377,0.007958223002809,0.001130736357096,0.0107670016020241,0.0180375921167101,0.0039710623875564,0.1523976694249595,0.0162856657818976,0.3184583130265691,116.01038225154322,53.9262498527617,66.7071324,101.749683,203.74581490000008,13.877239979938274,9.135839043522443,0.0,13.8323125,24.553147400000007,31.66103875462963,31.863253876583546,0.0,21.248564,90.3077317,0.1408084069181538,0.1051325468852101,0.0,0.134498246533983,0.2758441382775767,2.049382716049383,1.3768476660486937,0.0,2.0,4.0,8.424422055555555,7.471864317230188,0.0,6.8782195,21.247663600000003,0.3166297514168772,0.2881797949405927,0.0,0.3205238346902805,0.7765290201208016,0.12945319093277008,ok,,0.0004982551841758,0.4203090001828968,0.945670088330384,0.8483382739250784,0.3,0.3337304383932662,1.7,0.9653391818393268,0.0002804943446503,0.00163092272866,SIM_590
Sim603,Sim603,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_603_.grdecl,45.66350794722864,603.0,F03,0.3502470358921269,0.0325071345256731,0.6183745583038869,,False,True,13608,6726178246.379999,2748,1164737859.57,0.2019400352733686,0.1731648815873794,15,2024,997328580.78,0.7365356622998545,0.8562687068042896,1.338998333492763,475873.44,88197097.98599997,True,True,False,0.0289855366351505,0.073427401120511,0.1677075588573796,0.0425076469886711,0.0134075238161485,0.0041426191567248,0.1731648815873794,0.0160713937269174,0.0079458925317306,0.005412956091313,0.0081570316575431,0.0169851071530086,0.0041389186415008,0.1008727185397085,0.0151102840011263,0.3198735517956192,114.70443362191358,53.35540970527929,66.19444229999999,100.3030005,201.33019670000007,19.84943310493827,12.457316162334648,0.0,20.3521345,34.1633774,44.03874164660494,32.49277205215857,0.0,36.3623495,96.92867960000004,0.2039181016795545,0.1409646863265099,0.0,0.2062569417473272,0.382875093474535,2.316358024691358,1.472036993032226,0.0,2.0,4.0,13.716892723765431,11.111159244557715,0.0,7.843434,29.45833990000001,0.3851413426797576,0.2862473829218696,0.0,0.3927853088360828,0.74379738160897,0.10817226373081223,ok,,0.0007973013773291,0.4207461001351475,0.8916795599495522,0.8396560241173927,0.4001381013032426,0.3,1.658621485117708,0.9765849615067652,0.0002798575210243,0.0010118188012134,SIM_603
Sim630,Sim630,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_630_.grdecl,45.84557958646624,630.0,F04,0.039238184727538,0.048083753562929,0.3018867924528302,,False,True,13608,6596762082.345,2159,865145221.0949999,0.1586566725455614,0.1311469491086239,19,1634,749419056.09,0.7568318666049096,0.866234983233766,1.3185034193250529,602948.3999999999,24257568.12599996,True,True,False,0.0290030178080922,0.0643098904219073,0.1811741364348472,0.0556532551299005,0.0137890856596823,0.0029434459970849,0.1311469491086239,0.0202030660582234,0.0078699831336868,0.0028004834219264,0.0090675533653226,0.0198838316393203,0.0046777732105249,0.1259932341655023,0.0075359723360415,0.3221763112153192,112.47083297993828,52.027102228968126,65.8222564,98.4181375,196.81189060000008,14.70615324074074,10.991643379931451,0.0,13.413603,28.2390679,34.77953808487655,33.39901132853398,0.0,26.8822225,93.8889583,0.1621375538375563,0.1300612238716526,0.0,0.1620357490422678,0.3209342479970082,2.0354938271604937,1.4657528939961852,0.0,2.0,4.0,9.657546330246914,8.992517384445181,0.0,6.634726000000001,23.9083012,0.3233218262424239,0.3090217152897139,0.0,0.3134740333045203,0.7686130875959598,0.11424081922377649,ok,,0.0005967346473712,0.4192447999957949,0.8998528882520072,0.7688416536159465,0.3398102399910122,0.3172931799640842,1.7,0.9169607988559888,0.0002777321604341,0.0008975440861883,SIM_630
Sim633,Sim633,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_633_.grdecl,46.0898014262221,633.0,F01,-0.0116849294606193,0.0589264742686814,0.7516778523489933,,False,True,13608,6802785443.235001,2344,999415584.735,0.1722516166960611,0.1469127011390406,19,1815,883711787.22,0.7743174061433447,0.8842285438787916,1.2688888051788163,1028284.5750000004,25591736.66099995,True,True,False,0.0281608873429204,0.0613242634044645,0.1841356745868969,0.0367027933746307,0.013268978856266,0.0039569046943511,0.1469127011390406,0.0168939466456769,0.0077744273498429,0.0024691349007197,0.0094720260829449,0.0182090267771393,0.0038979206754741,0.1168187314161552,0.0175311686213179,0.3302106968409352,116.0331372175926,54.21085849026922,66.3125706,101.7429715,204.16458980000013,17.009667439814816,10.908632118397868,0.0,17.526065000000003,29.08891940000001,38.45879077160494,33.03230908533591,0.0,31.039845000000007,96.65100470000004,0.1719280068900212,0.1238182677879158,0.0,0.1765386389205528,0.3151836930830481,2.1712962962962963,1.4358645345544336,0.0,2.0,4.0,11.120236689814815,9.779811521998882,0.0,7.319322,25.761479200000004,0.3519059785241713,0.2951932479473155,0.0,0.3240072469102956,0.7627864676408066,0.12031031734142468,ok,,0.0007816308553855,0.4214573001954704,0.8893490618490802,0.8973913045842904,0.3488477519313871,0.3,1.7,0.999896998990711,0.0002837508960273,0.0011953355398098,SIM_633
Sim634,Sim634,,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_634_.grdecl,46.02789341374417,634.0,F04,0.1243158845581888,0.0974172809850484,0.8490566037735849,,False,True,13608,6713901365.31,1983,814345786.59,0.1457231040564374,0.121292485885723,16,1625,744035309.5350001,0.8194654563792234,0.9136601696566532,1.1939197122806278,546646.3724999996,29420635.417500004,True,True,False,0.0275271674014928,0.0560310979058642,0.1829250447885144,0.0715715083107737,0.0134395347891491,0.0034795530279467,0.121292485885723,0.0190677614205744,0.0079600196565491,0.0018067954777646,0.0106973982021977,0.0322072262250185,0.0044311299699331,0.1388492344826035,0.0171103063456601,0.2891825873309286,114.5022408410494,53.25067786370352,66.0517659,100.2416165,201.3058139000001,13.84096446759259,9.35357322167422,0.0,13.5215785,24.7651132,32.62621077932099,32.98173323631821,0.0,21.2194005,94.0001892,0.1435955168849666,0.1085189761716096,0.0,0.147225076724646,0.2809250959627468,2.063271604938272,1.4328626833861764,0.0,2.0,4.0,8.504625625000001,7.653417721980152,0.0,6.643193500000001,21.797236500000004,0.3185852623863879,0.2977205605599344,0.0,0.3192803106350792,0.7787300181425535,0.11917241949969123,ok,,0.0008968447304143,0.4256388999056071,0.90856667021598,0.7789852734271844,0.3,0.4294683288334062,1.7,0.8971410743685223,0.0002808702343682,0.0012434338145232,SIM_634
