simulation_id,status,message,processing_seconds,output_path,started_at_utc,finished_at_utc,grouping_status,family
base,ok,,0.9240818000398576,C:\Users\08595850933\Documents\Projetos\sfm_model_analysis\grids\_BENCHMARK_MCHAVES_Inferior_2025-1-Tck123_SIM_BaseModel_.grdecl,2026-07-30T16:28:36+00:00,2026-07-30T16:28:37+00:00,unmatched,
Sim549,ok,,0.4260337001178413,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_549_.grdecl,2026-07-30T16:28:37+00:00,2026-07-30T16:28:37+00:00,matched,F04
Sim563,ok,,0.4170639999210834,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_563_.grdecl,2026-07-30T16:28:37+00:00,2026-07-30T16:28:38+00:00,matched,F04
Sim566,ok,,0.424396000104025,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_566_.grdecl,2026-07-30T16:28:38+00:00,2026-07-30T16:28:38+00:00,matched,F02
Sim575,ok,,0.4216452999971807,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_575_.grdecl,2026-07-30T16:28:38+00:00,2026-07-30T16:28:38+00:00,matched,F01
Sim590,ok,,0.4203090001828968,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_590_.grdecl,2026-07-30T16:28:38+00:00,2026-07-30T16:28:39+00:00,matched,F04
Sim603,ok,,0.4207461001351475,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_603_.grdecl,2026-07-30T16:28:39+00:00,2026-07-30T16:28:39+00:00,matched,F03
Sim630,ok,,0.4192447999957949,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_630_.grdecl,2026-07-30T16:28:39+00:00,2026-07-30T16:28:40+00:00,matched,F04
Sim633,ok,,0.4214573001954704,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_633_.grdecl,2026-07-30T16:28:40+00:00,2026-07-30T16:28:40+00:00,matched,F01
Sim634,ok,,0.4256388999056071,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_634_.grdecl,2026-07-30T16:28:40+00:00,2026-07-30T16:28:41+00:00,matched,F04
Sim637,ok,,0.4243427999317646,C:\Users\08595850933\Desktop\Calibracoes\MChaves_9p\input_base\Results\Models\Grids\mchaves_9p_SIM_637_.grdecl,2026-07-30T16:28:41+00:00,2026-07-30T16:28:41+00:00,matched,F01
